"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2018"
"155","08/04/2020",8,4,2020,45,20,"Algeria","DZ","DZA",42228429
"156","07/04/2020",7,4,2020,103,21,"Algeria","DZ","DZA",42228429
"157","06/04/2020",6,4,2020,69,22,"Algeria","DZ","DZA",42228429
"158","05/04/2020",5,4,2020,80,25,"Algeria","DZ","DZA",42228429
"159","04/04/2020",4,4,2020,185,42,"Algeria","DZ","DZA",42228429
"160","03/04/2020",3,4,2020,139,5,"Algeria","DZ","DZA",42228429
"161","02/04/2020",2,4,2020,131,14,"Algeria","DZ","DZA",42228429
"162","01/04/2020",1,4,2020,132,9,"Algeria","DZ","DZA",42228429
"163","31/03/2020",31,3,2020,73,4,"Algeria","DZ","DZA",42228429
"164","30/03/2020",30,3,2020,57,2,"Algeria","DZ","DZA",42228429
"165","29/03/2020",29,3,2020,45,3,"Algeria","DZ","DZA",42228429
"166","28/03/2020",28,3,2020,42,1,"Algeria","DZ","DZA",42228429
"167","27/03/2020",27,3,2020,65,4,"Algeria","DZ","DZA",42228429
"168","26/03/2020",26,3,2020,38,2,"Algeria","DZ","DZA",42228429
"169","25/03/2020",25,3,2020,34,2,"Algeria","DZ","DZA",42228429
"170","24/03/2020",24,3,2020,29,0,"Algeria","DZ","DZA",42228429
"171","23/03/2020",23,3,2020,62,2,"Algeria","DZ","DZA",42228429
"172","22/03/2020",22,3,2020,37,5,"Algeria","DZ","DZA",42228429
"173","21/03/2020",21,3,2020,12,3,"Algeria","DZ","DZA",42228429
"174","20/03/2020",20,3,2020,18,1,"Algeria","DZ","DZA",42228429
"175","19/03/2020",19,3,2020,12,1,"Algeria","DZ","DZA",42228429
"176","18/03/2020",18,3,2020,2,1,"Algeria","DZ","DZA",42228429
"177","17/03/2020",17,3,2020,10,0,"Algeria","DZ","DZA",42228429
"178","16/03/2020",16,3,2020,11,2,"Algeria","DZ","DZA",42228429
"179","15/03/2020",15,3,2020,11,0,"Algeria","DZ","DZA",42228429
"180","14/03/2020",14,3,2020,1,1,"Algeria","DZ","DZA",42228429
"181","13/03/2020",13,3,2020,5,1,"Algeria","DZ","DZA",42228429
"182","12/03/2020",12,3,2020,0,0,"Algeria","DZ","DZA",42228429
"183","09/03/2020",9,3,2020,3,0,"Algeria","DZ","DZA",42228429
"184","06/03/2020",6,3,2020,5,0,"Algeria","DZ","DZA",42228429
"185","05/03/2020",5,3,2020,7,0,"Algeria","DZ","DZA",42228429
"186","04/03/2020",4,3,2020,2,0,"Algeria","DZ","DZA",42228429
"187","02/03/2020",2,3,2020,0,0,"Algeria","DZ","DZA",42228429
"188","01/03/2020",1,3,2020,2,0,"Algeria","DZ","DZA",42228429
"189","29/02/2020",29,2,2020,0,0,"Algeria","DZ","DZA",42228429
"190","28/02/2020",28,2,2020,0,0,"Algeria","DZ","DZA",42228429
"191","27/02/2020",27,2,2020,0,0,"Algeria","DZ","DZA",42228429
"192","26/02/2020",26,2,2020,1,0,"Algeria","DZ","DZA",42228429
"193","25/02/2020",25,2,2020,0,0,"Algeria","DZ","DZA",42228429
"194","24/02/2020",24,2,2020,0,0,"Algeria","DZ","DZA",42228429
"195","23/02/2020",23,2,2020,0,0,"Algeria","DZ","DZA",42228429
"196","22/02/2020",22,2,2020,0,0,"Algeria","DZ","DZA",42228429
"197","21/02/2020",21,2,2020,0,0,"Algeria","DZ","DZA",42228429
"198","20/02/2020",20,2,2020,0,0,"Algeria","DZ","DZA",42228429
"199","19/02/2020",19,2,2020,0,0,"Algeria","DZ","DZA",42228429
"200","18/02/2020",18,2,2020,0,0,"Algeria","DZ","DZA",42228429
"201","17/02/2020",17,2,2020,0,0,"Algeria","DZ","DZA",42228429
"202","16/02/2020",16,2,2020,0,0,"Algeria","DZ","DZA",42228429
"203","15/02/2020",15,2,2020,0,0,"Algeria","DZ","DZA",42228429
"204","14/02/2020",14,2,2020,0,0,"Algeria","DZ","DZA",42228429
"205","13/02/2020",13,2,2020,0,0,"Algeria","DZ","DZA",42228429
"206","12/02/2020",12,2,2020,0,0,"Algeria","DZ","DZA",42228429
"207","11/02/2020",11,2,2020,0,0,"Algeria","DZ","DZA",42228429
"208","10/02/2020",10,2,2020,0,0,"Algeria","DZ","DZA",42228429
"209","09/02/2020",9,2,2020,0,0,"Algeria","DZ","DZA",42228429
"210","08/02/2020",8,2,2020,0,0,"Algeria","DZ","DZA",42228429
"211","07/02/2020",7,2,2020,0,0,"Algeria","DZ","DZA",42228429
"212","06/02/2020",6,2,2020,0,0,"Algeria","DZ","DZA",42228429
"213","05/02/2020",5,2,2020,0,0,"Algeria","DZ","DZA",42228429
"214","04/02/2020",4,2,2020,0,0,"Algeria","DZ","DZA",42228429
"215","03/02/2020",3,2,2020,0,0,"Algeria","DZ","DZA",42228429
"216","02/02/2020",2,2,2020,0,0,"Algeria","DZ","DZA",42228429
"217","01/02/2020",1,2,2020,0,0,"Algeria","DZ","DZA",42228429
"218","31/01/2020",31,1,2020,0,0,"Algeria","DZ","DZA",42228429
"219","30/01/2020",30,1,2020,0,0,"Algeria","DZ","DZA",42228429
"220","29/01/2020",29,1,2020,0,0,"Algeria","DZ","DZA",42228429
"221","28/01/2020",28,1,2020,0,0,"Algeria","DZ","DZA",42228429
"222","27/01/2020",27,1,2020,0,0,"Algeria","DZ","DZA",42228429
"223","26/01/2020",26,1,2020,0,0,"Algeria","DZ","DZA",42228429
"224","25/01/2020",25,1,2020,0,0,"Algeria","DZ","DZA",42228429
"225","24/01/2020",24,1,2020,0,0,"Algeria","DZ","DZA",42228429
"226","23/01/2020",23,1,2020,0,0,"Algeria","DZ","DZA",42228429
"227","22/01/2020",22,1,2020,0,0,"Algeria","DZ","DZA",42228429
"228","21/01/2020",21,1,2020,0,0,"Algeria","DZ","DZA",42228429
"229","20/01/2020",20,1,2020,0,0,"Algeria","DZ","DZA",42228429
"230","19/01/2020",19,1,2020,0,0,"Algeria","DZ","DZA",42228429
"231","18/01/2020",18,1,2020,0,0,"Algeria","DZ","DZA",42228429
"232","17/01/2020",17,1,2020,0,0,"Algeria","DZ","DZA",42228429
"233","16/01/2020",16,1,2020,0,0,"Algeria","DZ","DZA",42228429
"234","15/01/2020",15,1,2020,0,0,"Algeria","DZ","DZA",42228429
"235","14/01/2020",14,1,2020,0,0,"Algeria","DZ","DZA",42228429
"236","13/01/2020",13,1,2020,0,0,"Algeria","DZ","DZA",42228429
"237","12/01/2020",12,1,2020,0,0,"Algeria","DZ","DZA",42228429
"238","11/01/2020",11,1,2020,0,0,"Algeria","DZ","DZA",42228429
"239","10/01/2020",10,1,2020,0,0,"Algeria","DZ","DZA",42228429
"240","09/01/2020",9,1,2020,0,0,"Algeria","DZ","DZA",42228429
"241","08/01/2020",8,1,2020,0,0,"Algeria","DZ","DZA",42228429
"242","07/01/2020",7,1,2020,0,0,"Algeria","DZ","DZA",42228429
"243","06/01/2020",6,1,2020,0,0,"Algeria","DZ","DZA",42228429
"244","05/01/2020",5,1,2020,0,0,"Algeria","DZ","DZA",42228429
"245","04/01/2020",4,1,2020,0,0,"Algeria","DZ","DZA",42228429
"246","03/01/2020",3,1,2020,0,0,"Algeria","DZ","DZA",42228429
"247","02/01/2020",2,1,2020,0,0,"Algeria","DZ","DZA",42228429
"248","01/01/2020",1,1,2020,0,0,"Algeria","DZ","DZA",42228429
